Commercial Energy Use Intensity Delivered Energy Use (Case Reference case)
https://www.eia.gov/outlooks/aeo/data/browser/#/?id=5-AEO2015&cases=ref2015&sourcekey=0
15:47:50 GMT-0500 (Central Daylight Time)
Data source: U.S. Energy Information Administration
Year,Commercial: Energy Use Intensity: Delivered Energy Use MBtu/sq ft
2040,92.790436
2039,93.175148
2038,93.513794
2037,93.778
2036,93.99765
2035,94.216705
2034,94.444778
2033,94.712036
2032,94.975052
2031,95.227684
2030,95.40477
2029,95.503166
2028,95.530014
2027,95.635422
2026,95.90461
2025,96.316383
2024,96.798599
2023,97.317322
2022,98.00473
2021,98.881783
2020,100.018196
2019,101.182648
2018,102.048843
2017,102.659897
2016,103.329765
2015,104.2463
2014,107.208664
2013,104.882233
2012,99.84314
