Commercial Total Floorspace (Case Reference case)
https://www.eia.gov/outlooks/aeo/data/browser/#/?id=5-AEO2021&region=0-0&cases=ref2021&start=2020&end=2050&f=A&linechart=ref2021-d113020a.5-5-AEO2021~ref2021-d113020a.6-5-AEO2021~ref2021-d113020a.7-5-AEO2021&sourcekey=0
16:24:10 GMT-0500 (Central Daylight Time)
Data source: U.S. Energy Information Administration
Year,Surviving billion sq ft,New Additions billion sq ft,Total billion sq ft
2050,121.824554,2.51965,124.344208
2049,120.711861,2.50093,123.212791
2048,119.610847,2.477541,122.088387
2047,118.519897,2.455881,120.975777
2046,117.434868,2.43847,119.873337
2045,116.358528,2.418402,118.776932
2044,115.293472,2.395855,117.689331
2043,114.240326,2.372781,116.613106
2042,113.198997,2.349949,115.548943
2041,112.170639,2.326069,114.496712
2040,111.150932,2.306611,113.457542
2039,110.144272,2.282846,112.427116
2038,109.14135,2.268442,111.40979
2037,108.132141,2.264089,110.396233
2036,107.103279,2.273042,109.37632
2035,106.059525,2.277153,108.336678
2034,105.008522,2.273598,107.28212
2033,103.966927,2.253461,106.22039
2032,102.943581,2.224651,105.168228
2031,101.943947,2.190623,104.134567
2030,100.969582,2.155227,103.124809
2029,100.00515,2.135381,102.140533
2028,99.035507,2.130776,101.166283
2027,98.062386,2.124486,100.186874
2026,97.08741,2.116653,99.204063
2025,96.109459,2.110073,98.219536
2024,95.141777,2.09042,97.232201
2023,94.222595,2.032847,96.25544
2022,93.412155,1.91551,95.327667
2021,92.493767,2.015375,94.50914
2020,91.743568,1.838832,93.582397
2019,,,
