Residential Key Indicators Households (Case Reference case)
https://www.eia.gov/outlooks/aeo/data/browser/#/?id=4-AEO2015&region=0-0&cases=ref2015&start=2012&end=2040&f=A&linechart=~~~~~ref2015-d021915a.4-4-AEO2015~ref2015-d021915a.5-4-AEO2015~ref2015-d021915a.6-4-AEO2015~ref2015-d021915a.7-4-AEO2015&map=ref2015-d021915a.16-4-AEO2015&ctype=linechart&sourcekey=0
15:47:29 GMT-0500 (Central Daylight Time)
Data source: U.S. Energy Information Administration
Year,Single-Family millions,Multifamily millions,Mobile Homes millions,Total millions
2040,98.601768,37.548347,4.811025,140.961136
2039,97.972961,37.17878,4.831216,139.982956
2038,97.347206,36.810921,4.854336,139.012466
2037,96.704918,36.441525,4.879095,138.025528
2036,96.059265,36.071606,4.90486,137.035736
2035,95.409035,35.703239,4.931711,136.043991
2034,94.751518,35.340271,4.960645,135.052444
2033,94.099998,34.979698,4.991679,134.071381
2032,93.447792,34.622189,5.024949,133.094925
2031,92.787407,34.26556,5.061243,132.114212
2030,92.079758,33.907974,5.099767,131.087494
2029,91.358124,33.545811,5.138659,130.042587
2028,90.642281,33.191406,5.178761,129.012451
2027,89.917381,32.845078,5.21946,127.981918
2026,89.148727,32.499599,5.26053,126.908859
2025,88.37043,32.145489,5.299963,125.81588
2024,87.602577,31.784712,5.334445,124.721733
2023,86.857117,31.424852,5.368235,123.6502
2022,86.104523,31.087349,5.409339,122.601212
2021,85.337776,30.763988,5.457158,121.558922
2020,84.548592,30.448563,5.510765,120.507919
2019,83.716476,30.122005,5.567777,119.406265
2018,82.886467,29.803366,5.637691,118.327522
2017,82.043739,29.520445,5.723124,117.287308
2016,81.249077,29.241268,5.833848,116.324188
2015,80.6063,28.93054,5.966763,115.503601
2014,80.067131,28.627268,6.101361,114.795761
2013,79.66954,28.406755,6.250629,114.32692
2012,79.286324,28.23937,6.408432,113.934128
