Residential Key Indicators Households (Case Reference case)
https://www.eia.gov/outlooks/aeo/data/browser/#/?id=4-AEO2021&region=0-0&cases=ref2021&start=2020&end=2050&f=A&linechart=ref2021-d113020a.4-4-AEO2021~ref2021-d113020a.5-4-AEO2021~ref2021-d113020a.6-4-AEO2021~ref2021-d113020a.7-4-AEO2021&sourcekey=0
16:21:29 GMT-0500 (Central Daylight Time)
Data source: U.S. Energy Information Administration
Year,Single-Family millions,Multifamily millions,Mobile Homes millions,Total millions
2050,106.746498,38.443745,6.41708,151.60733
2049,106.067299,38.240433,6.425656,150.733398
2048,105.388451,38.040798,6.432255,149.861496
2047,104.708992,37.844074,6.438198,148.991272
2046,104.026878,37.649311,6.442573,148.118759
2045,103.340927,37.454777,6.444091,147.239792
2044,102.656685,37.255768,6.443233,146.355682
2043,101.977921,37.053848,6.44286,145.474625
2042,101.307907,36.850163,6.444581,144.602646
2041,100.642845,36.649303,6.449031,143.74118
2040,99.974014,36.451229,6.455459,142.880707
2039,99.30011,36.251507,6.462773,142.014389
2038,98.626312,36.050476,6.472738,141.149521
2037,97.942635,35.851791,6.483514,140.277954
2036,97.25177,35.655647,6.493465,139.400879
2035,96.548988,35.458874,6.502039,138.509903
2034,95.831551,35.255718,6.51122,137.59848
2033,95.112335,35.051422,6.524387,136.688141
2032,94.374603,34.840218,6.53966,135.754471
2031,93.620483,34.621048,6.555332,134.79686
2030,92.86319,34.396915,6.571608,133.831711
2029,92.095459,34.169193,6.586789,132.85144
2028,91.318695,33.941967,6.597648,131.858307
2027,90.531715,33.709866,6.602856,130.844437
2026,89.73056,33.469734,6.605052,129.805344
2025,88.908073,33.21796,6.604194,128.730225
2024,88.078079,32.964333,6.610516,127.652931
2023,87.263756,32.722111,6.620814,126.606682
2022,86.438118,32.481697,6.634101,125.553917
2021,85.593697,32.227859,6.648386,124.46994
2020,84.750443,31.968704,6.663464,123.382614
2019,,,,
