Year,com_aeo_total_floorspace,com_aeo_new_construction_floorspace,com_aeo_cumulative_new_floorspace,res_aeo_total_households,res_aeo_sf_households,res_aeo_mf_households,res_aeo_mh_households,res_aeo_surviving_households,com_ELIGIBLE_B_sqft,com_INELIGIBLE_B_sqft,com_ALL_BASELINE_B_sqft,res_ELIGIBLE_M_dwelling_units,res_INELIGIBLE_M_dwelling_units,res_ALL_BASELINE_M_dwelling_units,adoption_rate_existing_com,adoption_rate_existing_res,adoption_rate_new,com_surviving_floorspace,com_adopted_existing_floorspace,com_eligible_not_adopted_existing_floorspace,com_ineligible_existing_floorspace,com_cumulative_new_floorspace,com_adopted_new_floorspace,com_not_adopted_new_floorspace,com_total_floorspace,com_gap_total_floorspace,res_surviving_dwelling_units,res_adopted_existing_dwelling_units,res_eligible_not_adopted_existing_dwelling_units,res_ineligible_existing_dwelling_units,res_cumulative_new_dwelling_units,res_adopted_new_dwelling_units,res_not_adopted_new_dwelling_units,res_total_dwelling_units,factor_res_baseline_new_construction,factor_res_baseline_surviving,factor_com_baseline_new_construction,factor_com_baseline_surviving,factor_res_upgrade_new_adoption,factor_res_upgrade_surviving_adoption,factor_res_upgrade_surviving_not_adopted_eligible,factor_res_upgrade_surviving_not_adopted_ineligible,factor_com_upgrade_new_adoption,factor_com_upgrade_surviving_adoption,factor_com_upgrade_surviving_not_adopted_eligible,factor_com_upgrade_surviving_not_adopted_ineligible
Calendar year (the integer year for this row).,"Total commercial floorspace at year, B sqft (includes the unsimulated gap). Read directly from the merged AEO data, row 'Commercial: Total Floorspace: Total: Reference case', column for this row's Year.","New commercial floorspace added during year, B sqft (annual increment, includes gap-share). Read directly from the merged AEO data, row 'Commercial: Total Floorspace: New Additions: Reference case', column for this row's Year.","Cumulative new commercial floorspace built between 2027 and year (B sqft, AEO basis including gap-share). For Year < 2027: = 0 (no construction relative to a future anchor). For Year >= 2027: = sum of com_aeo_new_construction_floorspace from Year=2027 through this row's Year inclusive (cross-row running sum). Used downstream to derive com_surviving_floorspace and com_cumulative_new_floorspace.","Total residential occupied households at year, M HH. Read directly from the merged AEO data, row 'Residential: Key Indicators: Households: Total: Reference case', column for this row's Year.","Single-family occupied households at year, M HH. Read directly from the merged AEO data, row 'Residential: Key Indicators: Households: Single-Family: Reference case', column for this row's Year.","Multifamily occupied households at year, M HH. Read directly from the merged AEO data, row 'Residential: Key Indicators: Households: Multifamily: Reference case', column for this row's Year.","Mobile-home occupied households at year, M HH. Read directly from the merged AEO data, row 'Residential: Key Indicators: Households: Mobile Homes: Reference case', column for this row's Year.","AEO occupied households from the 2027 anchor stock still standing at year, M HH. For Year < 2027: = res_aeo_total_households (no anchor yet, all existing households are 'surviving'). For Year >= 2027: = sum over type in {sf, mf, mh} of (res_aeo_<type>_households read from the Year=2027 row) * (1 - demolition_rate_<type>) ** (this row's Year - 2027), where demolition rates are sf=0.007053, mf=0.011759, mh=0.037005 per year (from Berrill et al. 2021). Cross-row dependency: requires looking up the Year=2027 row's per-type values.","Total commercial floorspace in the upgrade-eligible cohort, B sqft (excludes gap). Same value every row. Calculated once per run: sum of the 'sqft' column in aux_coverage_upgradeUpgraded-Baseline_reg_b2018.csv, divided by 1e9.","Total commercial floorspace in the ineligible cohort, B sqft (excludes gap). Same value every row. Calculated once per run: sum of the 'sqft' column in aux_coverage_upgradeNon-Upgraded-Baseline_reg_b2018.csv, divided by 1e9.","Total commercial floorspace across the full ComStock simulation frame, B sqft (excludes gap). Same value every row. = com_ELIGIBLE_B_sqft + com_INELIGIBLE_B_sqft (the All-Baseline spec is the union of eligible and ineligible).","Total residential dwelling units in the upgrade-eligible cohort, M units (raw, includes vacant). Same value every row. Calculated once per run: sum of the 'units_count' column in aux_coverage_upgradeUpgraded-Baseline_reg_b2018.csv, divided by 1e6.","Total residential dwelling units in the ineligible cohort, M units (raw, includes vacant). Same value every row. Calculated once per run: sum of the 'units_count' column in aux_coverage_upgradeNon-Upgraded-Baseline_reg_b2018.csv, divided by 1e6.","Total residential dwelling units across the full ResStock simulation frame, M units (raw, includes vacant). Same value every row. = res_ELIGIBLE_M_dwelling_units + res_INELIGIBLE_M_dwelling_units (the All-Baseline spec is the union of eligible and ineligible).",Cumulative fraction of existing commercial that has adopted by year. = 0 for Year < 2027; = 0.56 * (Year - 2026) / 20 for 2027 <= Year <= 2046 (linear ramp from 0 to 0.56 over 20 years); = 0.56 for Year > 2046 (flat after the ramp). The 0.56 maximum is the empirical eligibility share derived from the BSQ aux files.,Cumulative fraction of existing residential that has adopted by year. = 0 for Year < 2027; = 0.69 * (Year - 2026) / 20 for 2027 <= Year <= 2046 (linear ramp from 0 to 0.69 over 20 years); = 0.69 for Year > 2046 (flat after the ramp). The 0.69 maximum is the empirical eligibility share derived from the BSQ aux files.,Fraction of new (post-2027) construction that adopts the upgrade. = 1.0 for Year >= 2027; = 0 for Year < 2027 (no new construction tracked from before the anchor).,"Commercial floorspace from 2027 still standing at year, B sqft (excludes gap). = (com_aeo_total_floorspace - com_aeo_cumulative_new_floorspace) * 0.6 (subtract cumulative new since 2027 from the full AEO total, then take the 60 percent that ComStock simulates).","Existing commercial that has adopted the upgrade by year, B sqft (excludes gap). = adoption_rate_existing_com * com_surviving_floorspace.","Existing commercial eligible to adopt but has not yet, B sqft (excludes gap). = (0.56 - adoption_rate_existing_com) * com_surviving_floorspace; equals 0 for Year < 2027 (adoption has not started). The 0.56 is the max eligibility share for commercial.","Existing commercial that never qualifies for the upgrade, B sqft (excludes gap). = (1 - 0.56) * com_surviving_floorspace = 0.44 * com_surviving_floorspace for Year >= 2027; = com_surviving_floorspace for Year < 2027 (the entire surviving stock sits here pre-anchor since adoption has not started).","Cumulative new commercial built since 2027 at year, B sqft (excludes gap). = com_aeo_cumulative_new_floorspace * 0.6 (the 60 percent of AEO cumulative new that ComStock simulates).","New commercial built since 2027 that adopted the upgrade, B sqft (excludes gap). = adoption_rate_new * com_cumulative_new_floorspace.","New commercial built since 2027 that has not adopted, B sqft (excludes gap). = (1 - adoption_rate_new) * com_cumulative_new_floorspace; always 0 because new construction always adopts post-2027.","Total commercial floorspace simulated by ComStock at year, B sqft (excludes gap). = com_surviving_floorspace + com_cumulative_new_floorspace; equivalently com_aeo_total_floorspace * 0.6.","Unsimulated gap portion of AEO commercial total at year, B sqft. = com_aeo_total_floorspace * 0.4 (the 40 percent of AEO total that ComStock does not simulate; supplied to the projection only as an hourly load profile, separate from the cohort columns above and not summed into com_total_floorspace).","Residential dwelling units from 2027 still standing at year, M units (raw basis, includes vacant). = res_aeo_surviving_households / 0.878 (convert AEO occupied basis to ResStock raw basis by dividing by the 0.878 occupancy fraction).","Existing residential that has adopted the upgrade by year, M units (raw basis). = adoption_rate_existing_res * res_surviving_dwelling_units.","Existing residential eligible to adopt but has not yet, M units (raw basis). = (0.69 - adoption_rate_existing_res) * res_surviving_dwelling_units; equals 0 for Year < 2027 (adoption has not started). The 0.69 is the max eligibility share for residential.","Existing residential that never qualifies for the upgrade, M units (raw basis). = (1 - 0.69) * res_surviving_dwelling_units = 0.31 * res_surviving_dwelling_units for Year >= 2027; = res_surviving_dwelling_units for Year < 2027 (the entire surviving stock sits here pre-anchor).","Cumulative new residential built since 2027 at year, M units (raw basis). = (res_aeo_total_households - res_aeo_surviving_households) / 0.878.","New residential built since 2027 that adopted the upgrade, M units (raw basis). = adoption_rate_new * res_cumulative_new_dwelling_units.","New residential built since 2027 that has not adopted, M units (raw basis). = (1 - adoption_rate_new) * res_cumulative_new_dwelling_units; always 0 because new construction always adopts post-2027.","Total residential dwelling units at year, M units (raw basis, includes vacant). = res_surviving_dwelling_units + res_cumulative_new_dwelling_units; equivalently res_aeo_total_households / 0.878.",Multiplier applied to the upgrade-eligible residential energy source to produce the baseline new-construction cohort load. = res_cumulative_new_dwelling_units / res_ELIGIBLE_M_dwelling_units.,Multiplier applied to the full-baseline residential energy source to produce the baseline surviving cohort load. = res_surviving_dwelling_units / res_ALL_BASELINE_M_dwelling_units.,Multiplier applied to the upgrade-eligible commercial energy source to produce the baseline new-construction cohort load (non-gap basis). = com_cumulative_new_floorspace / com_ELIGIBLE_B_sqft.,Multiplier applied to the full-baseline commercial energy source to produce the baseline surviving cohort load (non-gap basis). = com_surviving_floorspace / com_ALL_BASELINE_B_sqft.,Multiplier applied to the upgrade-eligible residential energy source to produce the new-adopted (NC) cohort load. = res_adopted_new_dwelling_units / res_ELIGIBLE_M_dwelling_units.,Multiplier applied to the upgrade-eligible residential energy source to produce the surviving-adopted (SA) cohort load. = res_adopted_existing_dwelling_units / res_ELIGIBLE_M_dwelling_units.,Multiplier applied to the upgrade-eligible residential energy source to produce the eligible-not-adopted portion of SNA. = res_eligible_not_adopted_existing_dwelling_units / res_ELIGIBLE_M_dwelling_units.,Multiplier applied to the ineligible residential energy source to produce the ineligible portion of SNA. = res_ineligible_existing_dwelling_units / res_INELIGIBLE_M_dwelling_units.,Multiplier applied to the upgrade-eligible commercial energy source to produce the new-adopted (NC) cohort load (non-gap basis). = com_adopted_new_floorspace / com_ELIGIBLE_B_sqft.,Multiplier applied to the upgrade-eligible commercial energy source to produce the surviving-adopted (SA) cohort load (non-gap basis). = com_adopted_existing_floorspace / com_ELIGIBLE_B_sqft.,Multiplier applied to the upgrade-eligible commercial energy source to produce the eligible-not-adopted portion of SNA (non-gap basis). = com_eligible_not_adopted_existing_floorspace / com_ELIGIBLE_B_sqft.,Multiplier applied to the ineligible commercial energy source to produce the ineligible portion of SNA (non-gap basis). = com_ineligible_existing_floorspace / com_INELIGIBLE_B_sqft.
2012,82.352806,1.557530,0.000000,116.055710,83.622002,26.028158,6.405549,116.055710,35.947373,27.885473,63.832846,96.999836,42.639821,139.639657,0.000000,0.000000,0.000000,49.411684,0.000000,0.000000,49.411684,0.000000,0.000000,0.000000,49.411684,32.941122,132.181902,0.000000,0.000000,132.181902,0.000000,0.000000,0.000000,132.181902,0.000000,0.946593,0.000000,0.774079,,,,,,,,
2018,91.707504,2.076327,0.000000,117.623550,82.370071,29.613419,5.640058,117.623550,35.947373,27.885473,63.832846,96.999836,42.639821,139.639657,0.000000,0.000000,0.000000,55.024502,0.000000,0.000000,55.024502,0.000000,0.000000,0.000000,55.024502,36.683002,133.967597,0.000000,0.000000,133.967597,0.000000,0.000000,0.000000,133.967597,0.000000,0.959381,0.000000,0.862009,,,,,,,,
2020,93.862076,2.159142,0.000000,119.492714,83.805664,30.209467,5.477585,119.492714,35.947373,27.885473,63.832846,96.999836,42.639821,139.639657,0.000000,0.000000,0.000000,56.317246,0.000000,0.000000,56.317246,0.000000,0.000000,0.000000,56.317246,37.544830,136.096485,0.000000,0.000000,136.096485,0.000000,0.000000,0.000000,136.096485,0.000000,0.974626,0.000000,0.882261,,,,,,,,
2021,94.940559,2.168623,0.000000,120.495453,84.546066,30.540232,5.409160,120.495453,35.947373,27.885473,63.832846,96.999836,42.639821,139.639657,0.000000,0.000000,0.000000,56.964335,0.000000,0.000000,56.964335,0.000000,0.000000,0.000000,56.964335,37.976224,137.238557,0.000000,0.000000,137.238557,0.000000,0.000000,0.000000,137.238557,0.000000,0.982805,0.000000,0.892398,,,,,,,,
2022,96.007195,2.166759,0.000000,121.533249,85.295692,30.886061,5.351494,121.533249,35.947373,27.885473,63.832846,96.999836,42.639821,139.639657,0.000000,0.000000,0.000000,57.604317,0.000000,0.000000,57.604317,0.000000,0.000000,0.000000,57.604317,38.402878,138.420557,0.000000,0.000000,138.420557,0.000000,0.000000,0.000000,138.420557,0.000000,0.991270,0.000000,0.902424,,,,,,,,
2023,97.058914,2.161996,0.000000,122.580887,86.050064,31.231289,5.299528,122.580887,35.947373,27.885473,63.832846,96.999836,42.639821,139.639657,0.000000,0.000000,0.000000,58.235348,0.000000,0.000000,58.235348,0.000000,0.000000,0.000000,58.235348,38.823566,139.613767,0.000000,0.000000,139.613767,0.000000,0.000000,0.000000,139.613767,0.000000,0.999815,0.000000,0.912310,,,,,,,,
2024,103.371872,2.742075,0.000000,129.383557,88.609744,34.017912,6.755902,129.383557,35.947373,27.885473,63.832846,96.999836,42.639821,139.639657,0.000000,0.000000,0.000000,62.023123,0.000000,0.000000,62.023123,0.000000,0.000000,0.000000,62.023123,41.348749,147.361682,0.000000,0.000000,147.361682,0.000000,0.000000,0.000000,147.361682,0.000000,1.055300,0.000000,0.971649,,,,,,,,
2025,104.521950,2.676447,0.000000,130.748740,89.620040,34.380152,6.748549,130.748740,35.947373,27.885473,63.832846,96.999836,42.639821,139.639657,0.000000,0.000000,0.000000,62.713170,0.000000,0.000000,62.713170,0.000000,0.000000,0.000000,62.713170,41.808780,148.916560,0.000000,0.000000,148.916560,0.000000,0.000000,0.000000,148.916560,0.000000,1.066435,0.000000,0.982459,,,,,,,,
2026,105.935020,2.951616,0.000000,132.198570,90.630320,34.797908,6.770342,132.198570,35.947373,27.885473,63.832846,96.999836,42.639821,139.639657,0.000000,0.000000,0.000000,63.561012,0.000000,0.000000,63.561012,0.000000,0.000000,0.000000,63.561012,42.374008,150.567847,0.000000,0.000000,150.567847,0.000000,0.000000,0.000000,150.567847,0.000000,1.078260,0.000000,0.995741,,,,,,,,
