Commercial Gross End-use Assembly (Case Reference case)
https://www.eia.gov/outlooks/aeo/data/browser/#/?id=32-AEO2025&cases=ref2025&sourcekey=0
17:35:46 GMT-0600 (Mountain Daylight Time)
Data source: U.S. Energy Information Administration
Year,Commercial: Gross End-use: Assembly quads
2050,1.049781
2049,1.039362
2048,1.029748
2047,1.020947
2046,1.013067
2045,1.00587
2044,0.99854
2043,0.991378
2042,0.9845
2041,0.977602
2040,0.970116
2039,0.962177
2038,0.953786
2037,0.945831
2036,0.938231
2035,0.931477
2034,0.926498
2033,0.923375
2032,0.921471
2031,0.919013
2030,0.916276
2029,0.914704
2028,0.910561
2027,0.903565
2026,0.893815
2025,0.883931
2024,0.848661
2023,
