Residential Key Indicators Households Single-Family (Case Reference case)
https://www.eia.gov/outlooks/aeo/data/browser/#/?id=4-AEO2025&cases=ref2025&sourcekey=0
17:34:38 GMT-0600 (Mountain Daylight Time)
Data source: U.S. Energy Information Administration
Year,Residential: Key Indicators: Households: Single-Family millions
2050,110.741344
2049,110.05512
2048,109.369896
2047,108.685976
2046,107.999864
2045,107.31068
2044,106.617736
2043,105.923744
2042,105.208672
2041,104.460888
2040,103.692392
2039,102.892176
2038,102.063192
2037,101.201392
2036,100.314464
2035,99.402584
2034,98.4754
2033,97.54232
2032,96.580712
2031,95.59912
2030,94.613568
2029,93.625664
2028,92.631464
2027,91.639304
2026,90.63032
2025,89.62004
2024,88.609744
2023,
