Sector,Source,Year,Type,State,"Shell factor (1=2020 res stock, 1=2018 com stock)"
Commercial,,2019,Heating,Alabama,0.698600048
Commercial,,2019,Cooling,Alabama,0.690491599
Commercial,,2019,Heating,Alaska,0.674411262
Commercial,,2019,Cooling,Alaska,0.754670941
Commercial,,2019,Heating,Arizona,0.672152122
Commercial,,2019,Cooling,Arizona,0.743046037
Commercial,,2019,Heating,Arkansas,0.616663513
Commercial,,2019,Cooling,Arkansas,0.653423320
Commercial,,2019,Heating,California,0.674411262
Commercial,,2019,Cooling,California,0.754670941
Commercial,,2019,Heating,Colorado,0.672152122
Commercial,,2019,Cooling,Colorado,0.743046037
Commercial,,2019,Heating,Connecticut,0.603652707
Commercial,,2019,Cooling,Connecticut,0.779318269
Commercial,,2019,Heating,Delaware,0.683317257
Commercial,,2019,Cooling,Delaware,0.680798482
Commercial,,2019,Heating,District of Columbia,0.683317257
Commercial,,2019,Cooling,District of Columbia,0.680798482
Commercial,,2019,Heating,Florida,0.683317257
Commercial,,2019,Cooling,Florida,0.680798482
Commercial,,2019,Heating,Georgia,0.683317257
Commercial,,2019,Cooling,Georgia,0.680798482
Commercial,,2019,Heating,Hawaii,0.674411262
Commercial,,2019,Cooling,Hawaii,0.754670941
Commercial,,2019,Heating,Idaho,0.672152122
Commercial,,2019,Cooling,Idaho,0.743046037
Commercial,,2019,Heating,Illinois,0.647606040
Commercial,,2019,Cooling,Illinois,0.814995379
Commercial,,2019,Heating,Indiana,0.647606040
Commercial,,2019,Cooling,Indiana,0.814995379
Commercial,,2019,Heating,Iowa,0.599955459
Commercial,,2019,Cooling,Iowa,0.726431248
Commercial,,2019,Heating,Kansas,0.599955459
Commercial,,2019,Cooling,Kansas,0.726431248
Commercial,,2019,Heating,Kentucky,0.698600048
Commercial,,2019,Cooling,Kentucky,0.690491599
Commercial,,2019,Heating,Louisiana,0.616663513
Commercial,,2019,Cooling,Louisiana,0.653423320
Commercial,,2019,Heating,Maine,0.603652707
Commercial,,2019,Cooling,Maine,0.779318269
Commercial,,2019,Heating,Maryland,0.683317257
Commercial,,2019,Cooling,Maryland,0.680798482
Commercial,,2019,Heating,Massachusetts,0.603652707
Commercial,,2019,Cooling,Massachusetts,0.779318269
Commercial,,2019,Heating,Michigan,0.647606040
Commercial,,2019,Cooling,Michigan,0.814995379
Commercial,,2019,Heating,Minnesota,0.599955459
Commercial,,2019,Cooling,Minnesota,0.726431248
Commercial,,2019,Heating,Mississippi,0.698600048
Commercial,,2019,Cooling,Mississippi,0.690491599
Commercial,,2019,Heating,Missouri,0.599955459
Commercial,,2019,Cooling,Missouri,0.726431248
Commercial,,2019,Heating,Montana,0.672152122
Commercial,,2019,Cooling,Montana,0.743046037
Commercial,,2019,Heating,Nebraska,0.599955459
Commercial,,2019,Cooling,Nebraska,0.726431248
Commercial,,2019,Heating,Nevada,0.672152122
Commercial,,2019,Cooling,Nevada,0.743046037
Commercial,,2019,Heating,New Hampshire,0.603652707
Commercial,,2019,Cooling,New Hampshire,0.779318269
Commercial,,2019,Heating,New Jersey,0.652086119
Commercial,,2019,Cooling,New Jersey,0.746279548
Commercial,,2019,Heating,New Mexico,0.672152122
Commercial,,2019,Cooling,New Mexico,0.743046037
Commercial,,2019,Heating,New York,0.652086119
Commercial,,2019,Cooling,New York,0.746279548
Commercial,,2019,Heating,North Carolina,0.683317257
Commercial,,2019,Cooling,North Carolina,0.680798482
Commercial,,2019,Heating,North Dakota,0.599955459
Commercial,,2019,Cooling,North Dakota,0.726431248
Commercial,,2019,Heating,Ohio,0.647606040
Commercial,,2019,Cooling,Ohio,0.814995379
Commercial,,2019,Heating,Oklahoma,0.616663513
Commercial,,2019,Cooling,Oklahoma,0.653423320
Commercial,,2019,Heating,Oregon,0.674411262
Commercial,,2019,Cooling,Oregon,0.754670941
Commercial,,2019,Heating,Pennsylvania,0.652086119
Commercial,,2019,Cooling,Pennsylvania,0.746279548
Commercial,,2019,Heating,Rhode Island,0.603652707
Commercial,,2019,Cooling,Rhode Island,0.779318269
Commercial,,2019,Heating,South Carolina,0.683317257
Commercial,,2019,Cooling,South Carolina,0.680798482
Commercial,,2019,Heating,South Dakota,0.599955459
Commercial,,2019,Cooling,South Dakota,0.726431248
Commercial,,2019,Heating,Tennessee,0.698600048
Commercial,,2019,Cooling,Tennessee,0.690491599
Commercial,,2019,Heating,Texas,0.616663513
Commercial,,2019,Cooling,Texas,0.653423320
Commercial,,2019,Heating,Utah,0.672152122
Commercial,,2019,Cooling,Utah,0.743046037
Commercial,,2019,Heating,Vermont,0.603652707
