"Residential Sector Key Indicators and Consumption (merged AEO vintages)"
"https://github.com/NatLabRockies/buildstock-weatherreg/tree/main/projections/merge_aeo.py"
"Most-recent-vintage-wins per (row, year); years 2007-2050"
"Source: U.S. Energy Information Administration (AEO 2010, 2012, 2018, 2025)"
Unnamed: 0,full name,Unnamed: 0,api key,units,Growth (2024-2050),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
East North Central,Residential: Cooling Degree Days: East North Central: Reference case,East North Central,AEO.2025.REF2025.KEI_CDD_RESD_NA_NA_NA_ENC_CDD.A,CDD,0.3%,,,547.0,978.0,899.0,737.0,779.0,779.0,779.0,957.0,698.0,729.0,798.0,801.0,804.0,807.0,810.0,899.0,851.0,856.0,861.0,866.0,871.0,876.0,881.0,886.0,890.0,895.0,900.0,905.0,910.0,915.0,920.0,925.0,930.0,935.0,940.0,945.0,950.0,955.0,960.0,965.0,970.0,975.0
East South Central,Residential: Cooling Degree Days: East South Central: Reference case,East South Central,AEO.2025.REF2025.KEI_CDD_RESD_NA_NA_NA_ESC_CDD.A,CDD,0.2%,,,1491.0,1999.0,1815.0,1593.0,1669.0,1668.0,1668.0,1957.0,1575.0,1600.0,1747.0,1755.0,1763.0,1771.0,1779.0,1859.0,1773.0,1781.0,1788.0,1796.0,1803.0,1811.0,1818.0,1826.0,1834.0,1841.0,1849.0,1857.0,1864.0,1872.0,1879.0,1887.0,1895.0,1902.0,1910.0,1918.0,1925.0,1933.0,1940.0,1948.0,1956.0,1963.0
Middle Atlantic,Residential: Cooling Degree Days: Middle Atlantic: Reference case,Middle Atlantic,AEO.2025.REF2025.KEI_CDD_RESD_NA_NA_NA_MATL_CDD.A,CDD,0.7%,,,587.0,997.0,887.0,667.0,783.0,783.0,783.0,882.0,642.0,664.0,789.0,796.0,803.0,810.0,817.0,867.0,845.0,853.0,860.0,868.0,876.0,884.0,892.0,900.0,908.0,915.0,923.0,931.0,939.0,947.0,955.0,963.0,971.0,978.0,986.0,994.0,1002.0,1010.0,1018.0,1026.0,1033.0,1041.0
Mountain,Residential: Cooling Degree Days: Mountain: Reference case,Mountain,AEO.2025.REF2025.KEI_CDD_RESD_NA_NA_NA_MTN_CDD.A,CDD,0.1%,,,1551.0,1489.0,1395.0,1418.0,1573.0,1575.0,1578.0,1498.0,1499.0,1449.0,1528.0,1537.0,1545.0,1554.0,1562.0,1710.0,1568.0,1575.0,1583.0,1591.0,1598.0,1606.0,1613.0,1621.0,1629.0,1636.0,1644.0,1651.0,1659.0,1666.0,1674.0,1681.0,1689.0,1696.0,1703.0,1711.0,1718.0,1725.0,1733.0,1740.0,1747.0,1755.0
New England,Residential: Cooling Degree Days: New England: Reference case,New England,AEO.2025.REF2025.KEI_CDD_RESD_NA_NA_NA_NENGL_CDD.A,CDD,0.8%,,,363.0,655.0,607.0,444.0,518.0,518.0,518.0,620.0,440.0,481.0,557.0,562.0,567.0,573.0,578.0,620.0,609.0,615.0,621.0,627.0,633.0,640.0,646.0,652.0,659.0,665.0,671.0,678.0,684.0,690.0,697.0,703.0,710.0,716.0,722.0,729.0,735.0,741.0,748.0,754.0,760.0,767.0
Pacific,Residential: Cooling Degree Days: Pacific: Reference case,Pacific,AEO.2025.REF2025.KEI_CDD_RESD_NA_NA_NA_PCF_CDD.A,CDD,0.6%,,,967.0,746.0,809.0,839.0,892.0,891.0,891.0,923.0,1003.0,817.0,941.0,947.0,953.0,960.0,966.0,1056.0,1023.0,1032.0,1040.0,1049.0,1057.0,1066.0,1075.0,1083.0,1092.0,1101.0,1109.0,1118.0,1127.0,1135.0,1144.0,1153.0,1161.0,1170.0,1179.0,1188.0,1196.0,1205.0,1214.0,1222.0,1231.0,1240.0
South Atlantic,Residential: Cooling Degree Days: South Atlantic: Reference case,South Atlantic,AEO.2025.REF2025.KEI_CDD_RESD_NA_NA_NA_SATL_CDD.A,CDD,0.6%,,,2047.0,2289.0,2348.0,2028.0,2098.0,2100.0,2103.0,2418.0,2210.0,2104.0,2257.0,2269.0,2280.0,2291.0,2303.0,2399.0,2400.0,2415.0,2430.0,2445.0,2460.0,2476.0,2491.0,2507.0,2522.0,2538.0,2553.0,2569.0,2585.0,2600.0,2616.0,2632.0,2648.0,2663.0,2679.0,2695.0,2711.0,2727.0,2742.0,2758.0,2774.0,2790.0
United States,Residential: Cooling Degree Days: United States: Reference case,United States,AEO.2025.REF2025.KEI_CDD_RESD_NA_NA_NA_USA_CDD.A,CDD,0.6%,,,1278.515259,1497.729492,1527.464722,1315.212891,1385.266602,1388.157104,1391.627563,1556.643799,1398.868408,1351.932861,1477.319336,1487.996338,1498.444336,1509.126343,1519.735474,1616.899048,1566.379517,1578.362671,1589.96106,1602.043945,1613.705811,1626.06604,1637.931152,1650.127319,1662.213379,1674.297119,1686.352173,1698.634277,1711.057495,1722.959839,1735.467896,1747.792114,1760.29248,1772.279053,1784.803711,1797.338501,1809.679199,1822.108643,1834.589722,1846.810181,1859.140259,1871.439209
West North Central,Residential: Cooling Degree Days: West North Central: Reference case,West North Central,AEO.2025.REF2025.KEI_CDD_RESD_NA_NA_NA_WNC_CDD.A,CDD,0.4%,,,720.0,1123.0,1117.0,955.0,976.0,976.0,976.0,1071.0,907.0,923.0,986.0,989.0,991.0,994.0,997.0,1046.0,1046.0,1051.0,1056.0,1061.0,1066.0,1071.0,1076.0,1081.0,1086.0,1092.0,1097.0,1102.0,1107.0,1112.0,1117.0,1122.0,1128.0,1133.0,1138.0,1143.0,1148.0,1153.0,1159.0,1164.0,1169.0,1174.0
West South Central,Residential: Cooling Degree Days: West South Central: Reference case,West South Central,AEO.2025.REF2025.KEI_CDD_RESD_NA_NA_NA_WSC_CDD.A,CDD,0.2%,,,2582.0,2755.0,3201.0,2572.0,2600.0,2601.0,2602.0,2883.0,2694.0,2647.0,2844.0,2860.0,2877.0,2893.0,2909.0,3073.0,2901.0,2915.0,2928.0,2942.0,2955.0,2969.0,2982.0,2996.0,3010.0,3023.0,3037.0,3050.0,3064.0,3077.0,3091.0,3104.0,3118.0,3131.0,3145.0,3158.0,3172.0,3185.0,3199.0,3212.0,3226.0,3239.0
